alcohol_involvement,socializing_risk
1.0,2.0
1.0,1.6666666666666667
2.5,2.3333333333333335
1.0,1.3333333333333333
1.5,1.6666666666666667
1.5,1.6666666666666667
1.0,2.0
1.0,2.0
1.0,1.3333333333333333
1.0,1.0
1.5,2.0
1.0,1.3333333333333333
2.0,2.3333333333333335
1.5,2.0
1.0,1.3333333333333333
1.5,2.3333333333333335
1.5,2.0
1.0,1.3333333333333333
3.0,3.6666666666666665
2.0,2.3333333333333335
1.0,1.0
1.0,1.3333333333333333
2.0,1.6666666666666667
3.0,3.3333333333333335
1.0,1.3333333333333333
2.0,2.0
1.5,1.6666666666666667
3.0,3.3333333333333335
1.0,1.6666666666666667
5.0,5.0
3.5,3.0
1.0,1.0
1.0,1.3333333333333333
1.0,1.3333333333333333
1.0,1.6666666666666667
1.0,1.0
1.0,1.6666666666666667
1.0,1.6666666666666667
1.0,1.3333333333333333
1.0,1.0
1.5,2.0
3.0,3.0
1.0,1.6666666666666667
1.0,1.0
2.0,2.3333333333333335
1.0,1.3333333333333333
2.5,3.3333333333333335
1.0,1.3333333333333333
2.0,2.3333333333333335
1.0,2.0
2.5,2.6666666666666665
1.0,1.6666666666666667
3.5,4.0
2.5,3.0
4.0,4.0
1.0,2.0
1.0,1.3333333333333333
1.0,1.3333333333333333
1.0,1.3333333333333333
1.0,1.6666666666666667
2.5,3.0
5.0,5.0
1.0,1.6666666666666667
3.0,3.3333333333333335
3.0,3.3333333333333335
1.5,2.0
5.0,4.333333333333333
1.5,2.0
2.0,2.3333333333333335
2.5,2.3333333333333335
1.0,1.3333333333333333
1.0,1.6666666666666667
3.0,3.3333333333333335
2.0,2.0
3.0,3.0
2.5,2.6666666666666665
1.0,1.6666666666666667
2.0,2.3333333333333335
1.0,1.0
1.5,2.0
2.0,2.0
1.5,1.6666666666666667
1.0,2.0
2.0,2.3333333333333335
2.5,2.3333333333333335
2.5,3.0
1.5,2.3333333333333335
2.0,2.3333333333333335
1.0,1.3333333333333333
4.0,3.6666666666666665
2.0,2.3333333333333335
2.0,3.0
2.5,2.6666666666666665
1.0,1.6666666666666667
1.0,2.0
1.0,1.3333333333333333
1.0,1.6666666666666667
1.0,2.3333333333333335
1.5,2.3333333333333335
1.0,2.3333333333333335
5.0,5.0
1.0,1.6666666666666667
1.0,1.6666666666666667
1.0,2.3333333333333335
1.0,2.0
1.0,1.6666666666666667
1.0,1.3333333333333333
1.0,1.6666666666666667
4.0,4.333333333333333
1.0,2.3333333333333335
1.0,1.6666666666666667
1.0,1.3333333333333333
1.0,1.3333333333333333
1.0,1.3333333333333333
1.0,1.3333333333333333
1.5,2.3333333333333335
1.0,1.6666666666666667
1.0,1.3333333333333333
2.5,3.0
1.5,2.0
1.5,2.0
1.5,2.3333333333333335
1.5,1.6666666666666667
2.5,3.0
1.0,2.0
2.5,3.3333333333333335
1.0,1.3333333333333333
1.0,1.3333333333333333
1.5,2.0
3.5,4.0
2.0,2.0
1.5,2.0
2.0,2.6666666666666665
2.5,2.0
1.0,1.6666666666666667
1.0,1.6666666666666667
3.0,3.6666666666666665
1.0,1.3333333333333333
2.0,2.6666666666666665
1.0,1.3333333333333333
1.0,1.3333333333333333
2.0,2.3333333333333335
1.0,1.3333333333333333
3.0,3.3333333333333335
1.5,2.6666666666666665
1.5,1.6666666666666667
1.0,1.3333333333333333
1.0,1.3333333333333333
1.5,1.6666666666666667
3.5,4.0
3.5,4.0
4.0,4.0
2.5,2.0
1.0,2.0
1.0,1.0
1.0,2.0
3.0,2.6666666666666665
3.0,3.6666666666666665
1.5,1.6666666666666667
4.0,4.333333333333333
2.0,2.0
2.5,3.0
3.0,3.3333333333333335
2.5,2.6666666666666665
3.0,3.6666666666666665
1.0,1.3333333333333333
3.0,3.6666666666666665
1.0,1.6666666666666667
1.0,2.3333333333333335
1.0,1.3333333333333333
3.0,3.6666666666666665
1.0,1.3333333333333333
2.0,2.6666666666666665
1.0,2.3333333333333335
1.0,2.3333333333333335
4.0,4.0
2.5,3.0
2.5,3.0
3.5,3.3333333333333335
1.0,1.6666666666666667
2.5,2.6666666666666665
1.5,2.0
2.5,2.3333333333333335
2.5,2.6666666666666665
1.5,1.6666666666666667
2.5,3.0
1.5,2.0
1.5,2.0
2.0,2.3333333333333335
3.0,3.0
1.0,1.6666666666666667
1.0,1.6666666666666667
4.5,4.333333333333333
3.5,3.0
1.0,1.6666666666666667
1.0,1.3333333333333333
1.5,2.0
4.0,4.0
2.5,3.0
1.5,1.6666666666666667
3.0,3.6666666666666665
2.0,2.3333333333333335
2.0,2.6666666666666665
1.5,1.6666666666666667
1.0,2.3333333333333335
3.5,3.3333333333333335
2.0,2.3333333333333335
1.0,1.3333333333333333
2.5,2.3333333333333335
1.0,1.3333333333333333
1.5,2.0
4.5,4.666666666666667
1.0,2.0
3.0,3.3333333333333335
1.5,1.3333333333333333
2.0,2.6666666666666665
3.0,3.6666666666666665
3.0,3.3333333333333335
2.5,2.6666666666666665
1.0,1.6666666666666667
1.5,2.6666666666666665
1.0,2.0
1.0,1.0
5.0,4.333333333333333
1.0,1.3333333333333333
1.0,1.6666666666666667
2.0,2.6666666666666665
2.0,2.3333333333333335
4.5,3.6666666666666665
1.5,2.0
1.5,2.0
1.0,1.3333333333333333
2.0,3.0
3.0,3.3333333333333335
1.0,1.3333333333333333
2.0,2.3333333333333335
5.0,4.0
1.0,1.3333333333333333
1.0,1.0
4.0,4.0
2.5,3.3333333333333335
2.5,2.6666666666666665
1.0,2.3333333333333335
1.5,1.6666666666666667
1.0,2.0
1.0,1.6666666666666667
1.0,1.3333333333333333
5.0,5.0
2.0,2.3333333333333335
3.0,2.6666666666666665
3.0,3.6666666666666665
2.0,2.3333333333333335
3.5,4.0
2.0,2.0
3.0,2.6666666666666665
1.5,2.3333333333333335
1.0,1.6666666666666667
1.0,1.0
1.5,2.3333333333333335
1.0,1.0
2.0,2.0
1.0,1.3333333333333333
1.0,1.3333333333333333
1.0,1.6666666666666667
1.0,1.6666666666666667
3.5,4.0
3.5,3.6666666666666665
2.0,2.6666666666666665
2.0,3.0
1.5,2.6666666666666665
3.0,3.6666666666666665
2.0,3.0
1.0,1.6666666666666667
2.0,2.0
1.0,1.6666666666666667
2.5,3.0
1.0,1.0
2.5,3.0
1.0,2.0
1.5,2.0
3.0,3.3333333333333335
3.5,3.6666666666666665
1.0,1.3333333333333333
1.0,2.0
1.5,2.6666666666666665
1.5,2.0
1.5,2.0
1.0,1.6666666666666667
2.0,2.6666666666666665
1.0,1.6666666666666667
2.5,2.3333333333333335
1.5,1.6666666666666667
1.0,1.6666666666666667
1.0,1.3333333333333333
1.0,1.3333333333333333
2.0,2.3333333333333335
2.5,3.0
1.5,2.6666666666666665
1.0,1.6666666666666667
2.0,2.0
1.0,2.0
2.0,1.6666666666666667
1.0,1.6666666666666667
1.5,1.6666666666666667
1.0,2.0
1.0,1.6666666666666667
1.0,1.6666666666666667
1.0,2.0
1.5,2.0
2.0,2.3333333333333335
2.0,2.6666666666666665
1.0,1.0
2.0,2.0
1.5,1.6666666666666667
1.0,1.3333333333333333
1.0,1.3333333333333333
1.5,2.0
1.0,2.0
3.5,3.6666666666666665
3.0,3.3333333333333335
1.5,1.6666666666666667
1.0,1.3333333333333333
2.0,2.0
2.5,2.6666666666666665
2.5,2.6666666666666665
2.0,2.3333333333333335
4.0,4.333333333333333
5.0,5.0
2.0,2.6666666666666665
1.5,2.0
3.0,3.6666666666666665
1.0,1.6666666666666667
1.0,2.0
1.0,1.6666666666666667
1.0,2.0
2.0,3.0
1.5,2.0
2.5,2.3333333333333335
1.0,1.6666666666666667
2.5,2.6666666666666665
2.0,2.6666666666666665
2.0,2.3333333333333335
2.0,2.3333333333333335
1.5,1.3333333333333333
1.5,2.0
2.5,2.6666666666666665
1.5,1.6666666666666667
2.5,3.3333333333333335
2.0,2.3333333333333335
5.0,5.0
3.0,3.3333333333333335
2.5,3.0
2.5,2.6666666666666665
3.0,3.3333333333333335
2.0,3.0
1.0,2.0
1.5,2.0
1.5,2.0
1.5,1.6666666666666667
1.0,1.3333333333333333
2.5,3.0
2.5,2.6666666666666665
2.0,2.0
1.0,2.0
1.5,1.6666666666666667
